checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,asnm,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted
None,18,Existing_credits_paid_till_now,business,1568,100_to_500DM,1_to_4yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,348,none,rent,1,unskilled_resident,1,none,yes,0
<0DM,24,Existing_credits_paid_till_now,other,1755,<100DM,>7yrs,4,female_divorced/separated/married,guarantor,4,real_estate,58,280,none,own,1,unskilled_resident,1,yes,yes,0
<0DM,10,Existing_credits_paid_till_now,radio/television,2315,<100DM,>7yrs,3,male_single,None,4,real_estate,52,124,none,own,1,unskilled_resident,1,none,yes,0
None,12,Critical_acct_other_credits_existing,business,1412,<100DM,1_to_4yrs,4,female_divorced/separated/married,guarantor,2,real_estate,29,193,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
0_to_200DM,18,Critical_acct_other_credits_existing,furniture/equipment,1295,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,27,249,none,own,2,skilled_employee/official,1,none,yes,0
0_to_200DM,36,Existing_credits_paid_till_now,education,12612,100_to_500DM,1_to_4yrs,1,male_single,None,4,unknown/no_property,47,49,none,for_free,1,skilled_employee/official,2,yes,yes,1
<0DM,18,Existing_credits_paid_till_now,new_car,2249,100_to_500DM,4_to_7yrs,4,male_single,None,3,car_or_other_nonsavings,30,168,none,own,1,management_self-employed_highly_qualified/officer,2,yes,yes,0
<0DM,12,No_credits_taken_or_all_paid,repairs,1108,<100DM,4_to_7yrs,4,male_single,None,3,real_estate,28,220,none,own,2,skilled_employee/official,1,none,yes,1
None,12,Critical_acct_other_credits_existing,radio/television,618,<100DM,>7yrs,4,male_single,None,4,real_estate,NA,NA,none,own,1,skilled_employee/official,1,none,yes,0
<0DM,12,Critical_acct_other_credits_existing,used_car,1409,<100DM,>7yrs,4,male_single,None,3,real_estate,54,168,none,own,1,skilled_employee/official,1,none,yes,0
None,12,Critical_acct_other_credits_existing,radio/television,797,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,33,105,bank,own,1,unskilled_resident,2,none,yes,1
>200DM,24,Critical_acct_other_credits_existing,furniture/equipment,3617,Unknown_or_no_savings_acct,>7yrs,4,male_single,co-applicant,4,unknown/no_property,20,508,none,rent,2,skilled_employee/official,1,none,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,new_car,1318,>1000DM,>7yrs,4,male_single,None,4,real_estate,54,168,none,own,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,54,No_credits_taken_or_all_paid,business,15945,<100DM,<1yr,3,male_single,None,4,unknown/no_property,58,280,none,rent,1,skilled_employee/official,1,yes,yes,1
None,12,Critical_acct_other_credits_existing,education,2012,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,61,385,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,18,Existing_credits_paid_till_now,business,2622,100_to_500DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,34,88,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,36,Critical_acct_other_credits_existing,radio/television,2337,<100DM,>7yrs,4,male_single,None,4,real_estate,36,60,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,20,Delay_in_past,used_car,7057,Unknown_or_no_savings_acct,4_to_7yrs,3,male_single,None,4,building_society_savings_agreement/life_insurance,36,60,bank,rent,2,management_self-employed_highly_qualified/officer,2,yes,yes,0
None,24,Existing_credits_paid_till_now,new_car,1469,100_to_500DM,>7yrs,4,male_married/widowed,None,4,real_estate,41,25,none,rent,1,unskilled_resident,1,none,yes,0
0_to_200DM,36,Existing_credits_paid_till_now,radio/television,2323,<100DM,4_to_7yrs,4,male_single,None,4,car_or_other_nonsavings,NA,NA,none,rent,1,skilled_employee/official,1,none,yes,0
None,6,Delay_in_past,radio/television,932,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,real_estate,24,348,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,9,Critical_acct_other_credits_existing,furniture/equipment,1919,<100DM,4_to_7yrs,4,male_single,None,3,car_or_other_nonsavings,35,73,none,rent,1,skilled_employee/official,1,yes,yes,0
None,12,Existing_credits_paid_till_now,used_car,2445,Unknown_or_no_savings_acct,<1yr,2,male_married/widowed,None,4,car_or_other_nonsavings,26,280,none,rent,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,24,Critical_acct_other_credits_existing,other,11938,<100DM,1_to_4yrs,2,male_single,co-applicant,3,car_or_other_nonsavings,39,33,none,own,2,management_self-employed_highly_qualified/officer,2,yes,yes,1
None,18,All_credits_paid_duly,new_car,6458,<100DM,>7yrs,2,male_single,None,4,unknown/no_property,39,33,bank,own,2,management_self-employed_highly_qualified/officer,2,yes,yes,1
0_to_200DM,12,Existing_credits_paid_till_now,new_car,6078,<100DM,4_to_7yrs,2,male_single,None,2,car_or_other_nonsavings,32,124,none,own,1,skilled_employee/official,1,none,yes,0
<0DM,24,Existing_credits_paid_till_now,furniture/equipment,7721,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,30,168,none,own,1,skilled_employee/official,1,yes,no,0
0_to_200DM,14,Existing_credits_paid_till_now,business,1410,500_to_1000DM,>7yrs,1,male_married/widowed,None,2,real_estate,35,73,none,own,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,6,Delay_in_past,business,1449,100_to_500DM,>7yrs,1,male_divorced/separated,None,2,car_or_other_nonsavings,31,145,bank,own,2,skilled_employee/official,2,none,yes,0
>200DM,15,Existing_credits_paid_till_now,education,392,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,23,385,none,rent,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,18,Existing_credits_paid_till_now,new_car,6260,<100DM,4_to_7yrs,3,male_single,None,3,real_estate,28,220,none,rent,1,unskilled_resident,1,none,yes,0
None,36,Critical_acct_other_credits_existing,new_car,7855,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,real_estate,NA,NA,stores,own,2,skilled_employee/official,1,yes,yes,1
<0DM,12,Existing_credits_paid_till_now,radio/television,1680,500_to_1000DM,>7yrs,3,male_married/widowed,None,1,real_estate,35,73,none,own,1,skilled_employee/official,1,none,yes,0
None,48,Critical_acct_other_credits_existing,radio/television,3578,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,1,real_estate,47,49,none,own,1,skilled_employee/official,1,yes,yes,0
<0DM,42,Existing_credits_paid_till_now,radio/television,7174,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,30,168,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
<0DM,10,Critical_acct_other_credits_existing,furniture/equipment,2132,Unknown_or_no_savings_acct,<1yr,2,female_divorced/separated/married,co-applicant,3,real_estate,27,249,none,rent,2,skilled_employee/official,1,none,no,0
<0DM,33,Critical_acct_other_credits_existing,furniture/equipment,4281,500_to_1000DM,1_to_4yrs,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,385,none,own,2,skilled_employee/official,1,none,yes,1
0_to_200DM,12,Critical_acct_other_credits_existing,new_car,2366,500_to_1000DM,4_to_7yrs,3,male_divorced/separated,None,3,car_or_other_nonsavings,36,60,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
<0DM,21,Existing_credits_paid_till_now,radio/television,1835,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,real_estate,25,313,none,own,2,skilled_employee/official,1,yes,yes,1
None,24,Critical_acct_other_credits_existing,used_car,3868,<100DM,>7yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,41,25,none,rent,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
None,12,Existing_credits_paid_till_now,furniture/equipment,1768,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,24,348,none,rent,1,unskilled_resident,1,none,yes,0
>200DM,10,Critical_acct_other_credits_existing,new_car,781,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,63,465,none,for_free,2,skilled_employee/official,1,yes,yes,0
0_to_200DM,18,Existing_credits_paid_till_now,furniture/equipment,1924,Unknown_or_no_savings_acct,<1yr,4,female_divorced/separated/married,None,3,real_estate,27,249,none,rent,1,skilled_employee/official,1,none,yes,1
<0DM,12,Critical_acct_other_credits_existing,new_car,2121,<100DM,1_to_4yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,30,168,none,own,2,skilled_employee/official,1,none,yes,0
<0DM,12,Existing_credits_paid_till_now,radio/television,701,<100DM,1_to_4yrs,4,male_married/widowed,None,2,real_estate,40,28,none,own,1,unskilled_resident,1,none,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,repairs,639,<100DM,1_to_4yrs,4,male_single,None,2,car_or_other_nonsavings,30,168,none,own,1,skilled_employee/official,1,none,yes,1
0_to_200DM,12,Critical_acct_other_credits_existing,used_car,1860,<100DM,unemployed,4,male_single,None,2,car_or_other_nonsavings,34,88,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
<0DM,12,Critical_acct_other_credits_existing,new_car,3499,<100DM,1_to_4yrs,3,female_divorced/separated/married,co-applicant,2,real_estate,29,193,none,own,2,skilled_employee/official,1,none,yes,1
0_to_200DM,48,Existing_credits_paid_till_now,new_car,8487,Unknown_or_no_savings_acct,4_to_7yrs,1,female_divorced/separated/married,None,2,car_or_other_nonsavings,24,348,none,own,1,skilled_employee/official,1,none,yes,0
<0DM,36,Delay_in_past,education,6887,<100DM,1_to_4yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,NA,NA,stores,own,1,skilled_employee/official,1,yes,yes,1
None,15,Existing_credits_paid_till_now,furniture/equipment,2708,<100DM,<1yr,2,male_single,None,3,building_society_savings_agreement/life_insurance,27,249,bank,own,2,unskilled_resident,1,none,yes,0
None,18,Existing_credits_paid_till_now,furniture/equipment,1984,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,47,49,bank,for_free,2,skilled_employee/official,1,none,yes,0
None,60,Existing_credits_paid_till_now,radio/television,10144,100_to_500DM,4_to_7yrs,2,female_divorced/separated/married,None,4,real_estate,21,465,none,own,1,skilled_employee/official,1,yes,yes,0
None,12,Critical_acct_other_credits_existing,radio/television,1240,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,2,real_estate,38,40,none,own,2,skilled_employee/official,1,yes,yes,0
None,27,Delay_in_past,used_car,8613,>1000DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,27,249,none,own,2,skilled_employee/official,1,none,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,radio/television,766,500_to_1000DM,1_to_4yrs,4,male_single,None,3,real_estate,66,600,none,own,1,unskilled_resident,1,none,yes,1
0_to_200DM,15,Critical_acct_other_credits_existing,radio/television,2728,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,guarantor,2,real_estate,NA,NA,bank,own,3,skilled_employee/official,1,yes,yes,0
>200DM,12,Existing_credits_paid_till_now,radio/television,1881,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,44,28,none,rent,1,unskilled_resident,1,yes,yes,0
>200DM,6,Existing_credits_paid_till_now,new_car,709,>1000DM,<1yr,2,male_married/widowed,None,2,real_estate,27,249,none,own,1,unemployed/unskilled_nonresident,1,none,no,0
0_to_200DM,36,Existing_credits_paid_till_now,radio/television,4795,<100DM,<1yr,4,female_divorced/separated/married,None,1,unknown/no_property,30,168,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
<0DM,27,Existing_credits_paid_till_now,radio/television,3416,<100DM,1_to_4yrs,3,male_single,None,2,car_or_other_nonsavings,27,249,none,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0
